recipe_name,ingredients,cooking_time,meal_type,cuisine,instructions
Tomato Rice,tomato rice onion garlic oil salt pepper,25,Lunch,Indian,"1. Heat oil in a pan. 2. Add onion and garlic, sauté until golden. 3. Add tomatoes and cook until soft. 4. Add rice and stir well. 5. Add water (2:1 ratio) and cook until rice is done."
Margherita Pasta,pasta tomato garlic basil olive oil salt,20,Lunch,Italian,"1. Boil pasta in salted water until al dente. 2. Heat olive oil and add garlic. 3. Add fresh tomatoes and simmer for 10 minutes. 4. Toss pasta with sauce. 5. Top with fresh basil and serve."
Vegetable Fried Rice,rice onion carrot peas garlic oil soy sauce salt,15,Lunch,Chinese,"1. Heat oil in a wok or large pan. 2. Add garlic and onions, stir-fry briefly. 3. Add carrots and peas, cook until tender. 4. Add cooked rice and break any clumps. 5. Add soy sauce and mix well."
Paneer Tikka,paneer yogurt ginger garlic lemon chili powder salt oil,30,Dinner,Indian,"1. Mix yogurt with ginger, garlic, chili powder, lemon juice, and salt. 2. Cut paneer into cubes and marinate for 30 minutes. 3. Thread paneer onto skewers. 4. Grill or bake at 400F for 15-20 minutes until golden."
Spaghetti Aglio e Olio,spaghetti garlic olive oil red chili salt,12,Dinner,Italian,"1. Boil spaghetti in salted water until al dente. 2. While pasta cooks, heat olive oil on medium heat. 3. Add thinly sliced garlic and red chili. 4. Cook garlic until golden, do not burn. 5. Toss pasta with garlic oil mixture."
Chicken Stir Fry,chicken bell pepper onion garlic ginger soy sauce oil salt,20,Dinner,Chinese,"1. Cut chicken into bite-sized pieces. 2. Heat oil in a wok. 3. Cook chicken until golden, set aside. 4. Stir-fry vegetables and aromatics. 5. Return chicken, add soy sauce, cook until chicken is done."
Dal Fry,lentils onion tomato garlic ginger turmeric chili powder salt oil cumin,30,Lunch,Indian,"1. Soak lentils for 30 minutes and drain. 2. Pressure cook lentils with turmeric and salt. 3. Heat oil and add cumin seeds. 4. Add onion, garlic, ginger and tomatoes. 5. Mix with cooked lentils and serve hot."
Mushroom Risotto,rice mushroom onion garlic white wine cheese butter salt,35,Dinner,Italian,"1. Heat broth and keep warm. 2. Sauté mushrooms and set aside. 3. In same pan, sauté onion and garlic. 4. Add rice and toast lightly. 5. Add wine, then gradually add broth while stirring. 6. Finish with butter and cheese."
Hakka Noodles,noodles cabbage carrot onion garlic soy sauce vinegar oil salt chili,18,Lunch,Chinese,"1. Boil noodles, drain and set aside. 2. Heat oil in a wok. 3. Add garlic and vegetables. 4. Stir-fry until vegetables are cooked. 5. Add noodles, soy sauce, and vinegar. 6. Toss well and serve."
Aloo Paratha,flour potato onion turmeric chili powder salt oil water,40,Breakfast,Indian,"1. Mix flour with salt and water to make dough. 2. Boil and mash potatoes with spices. 3. Roll dough, fill with potato mixture, seal edges. 4. Roll out gently to flatbread thickness. 5. Cook on griddle with ghee until golden brown on both sides."
Scrambled Eggs with Toast,eggs butter milk salt pepper bread,10,Breakfast,American,"1. Heat butter in a pan. 2. Whisk eggs with milk, salt, and pepper. 3. Pour into pan and stir gently until cooked. 4. Toast bread meanwhile. 5. Serve eggs with buttered toast."
Chicken Tikka Masala,chicken yogurt ginger garlic tomato cream chili powder turmeric cumin salt oil onion,45,Dinner,Indian,"1. Marinate chicken in yogurt and spices for 2 hours. 2. Grill or bake chicken. 3. Make tomato cream sauce by cooking onions, tomatoes, and spices. 4. Add grilled chicken to sauce. 5. Simmer for 20 minutes until sauce thickens."
Paneer Spinach Curry,paneer spinach butter onion garlic ginger tomato cream salt chili powder,35,Lunch,Indian,"1. Heat butter in a pan. 2. Add onion, garlic, and ginger, sauté until golden. 3. Add blanched spinach and cook for 5 minutes. 4. Add tomato puree and simmer. 5. Cut paneer into cubes and add to the curry. 6. Cook for 10 minutes until paneer is tender. 7. Add cream and serve hot."
Palak Paneer,paneer spinach butter cream onion garlic ginger salt chili powder turmeric,40,Lunch,Indian,"1. Blanch spinach and puree it. 2. Heat butter and add onion, garlic, ginger. 3. Cook until soft. 4. Add spinach puree and simmer for 10 minutes. 5. Add paneer cubes and cream. 6. Season with salt, turmeric, chili powder. 7. Cook for 15 minutes on low heat. 8. Serve hot with butter."
Butter Chicken,chicken butter cream onion garlic ginger tomato yogurt chili powder turmeric,50,Lunch,Indian,"1. Marinate chicken in yogurt and spices for 30 minutes. 2. Grill or pan-fry chicken until cooked. 3. In another pan, heat butter and add onion, garlic, ginger. 4. Add tomato puree and cook for 5 minutes. 5. Add grilled chicken and cream. 6. Simmer for 20 minutes. 7. Season and serve hot."
Vegetable Korma,spinach potato carrot paneer butter cream onion garlic ginger coconut milk salt,45,Lunch,Indian,"1. Heat butter in a pan. 2. Add onion, garlic, ginger and cook until golden. 3. Add chopped vegetables and paneer. 4. Pour coconut milk and simmer. 5. Add spinach and cook until vegetables are tender. 6. Season with salt and serve hot."
